paperId,title,workstream,fulltext_decision,design,setting,reform,schooling_first_stage,fertility_outcome,effect_summary,persistence_or_rebound,completed_fertility,mechanism,child_value_mechanism_status,synthesis_status,source_locator,pdf_path
W2169373049,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,US state/cohort compulsory-law design; Norwegian reform design,United States; Norway,Minimum dropout ages in US; Norway minimum dropout age 14 to 16,Law-based mandatory attainment; exact first-stage coefficient not extracted in current pass,Probability first birth before ages 17-21,US dropout age 16: -0.008 probability of teen birth (4.7% of mean); dropout age 17: -0.015 (8.8%); Norway reform: -0.006 (3.5%),Age-threshold pattern reported; completed-fertility follow-up unavailable,NOT_REPORTED,School attendance/incapacitation candidate,NOT_TESTED,NARRATIVE_NUMERIC_SE_NOT_YET_EXTRACTED,"PDF abstract; Table 2 discussion, PDF pp. 17-18",literature/pdfs/compulsory-education/W2169373049__fast-times-at-ridgemont-high-the-effect-of-compulsory-schooling-laws-on-.pdf
W2185731654,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,BOTH,INCLUDE_BOTH_OUTCOMES,Regression discontinuity at 1972 UK ROSLA cohort cutoff,United Kingdom,Minimum school-leaving age 15 to 16,+0.31 years education (women),Age-specific births at 16-19; completed fertility by 45,"Age 17 reduced-form -0.0031 to -0.0034 (3.1-3.4 births per 1,000; about 8%); IV scaling about 26% decline",No detectable effects at ages 18-19; effects essentially zero beyond teen years,Precisely zero; 95% CI excludes effects larger than one tenth of OLS association,Conception reduction during compulsory schooling; negligible abortion effect; incapacitation,WRONG_MECHANISM_OWN_SCHOOLING,TEMPO_NUMERIC; QUANTUM_NARRATIVE_PENDING_TABLE_EXTRACTION,PDF introduction p. 3; Table 1 pp. 16-17; Table 3 pp. 20-21,literature/pdfs/compulsory-education/W2185731654__the-impact-of-education-on-family-formation-quasi-experimental-evidence-.pdf
W3006219298,Books or babies? The incapacitation effect of schooling on minority women,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Regression discontinuity around school-entry cutoff and leaving-age reform,Hungary; Roma women,Increase in compulsory school-leaving age,Enrollment-rule compliance about 78-80%; reform exposure extends schooling,Teenage motherhood; age at motherhood; conception timing,Teenage motherhood decreased 13.4-26.0%; motherhood delayed by 2 years,Pregnancy falls during school terms but not summer/Christmas breaks,NOT_REPORTED,Direct incapacitation evidence using conception dates,NOT_TESTED,NARRATIVE_PERCENT_RANGE_SE_NOT_YET_EXTRACTED,PDF abstract; mechanism discussion; enrollment compliance Table 2,literature/pdfs/compulsory-education/W3006219298__books-or-babies-the-incapacitation-effect-of-schooling-on-minority-women.pdf
W4385628385,"Women's education, marriage, and fertility outcomes: Evidence from Thailand's compulsory schooling law",TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Donut-hole regression discontinuity,Thailand,Compulsory education extended from 6 to 9 years,Lower-secondary completion +7.6 to +8.9 pp overall; heterogeneous increases,Ever birth and births by age; cumulative births,Ever birth falls about 4-5 pp at ages 14-15; births decrease through age 17,Fertility rises after school years and is significantly higher at age 20; catch-up around ages 20-21,NOT_OBSERVED,Predominantly in-school incapacitation; short-lived human-capital spillover; delayed marriage,NOT_TESTED,NARRATIVE_AGE_SPECIFIC_FIGURE_EXTRACTION_PENDING,PDF abstract; Figure 4 discussion pp. 16-17; Table 1 first stage,literature/pdfs/compulsory-education/W4385628385__women-s-education-marriage-and-fertility-outcomes-evidence-from-thailand.pdf
W4412362654,Do Compulsory Schooling Laws Affect Fertility Behaviors and Marriages? Evidence From India,TEMPO_COMPULSORY_SCHOOLING,INCLUDE_ADJACENT_MECHANISM,Instrumental-variable staggered difference-in-differences,India,2010 Right to Education Act; compulsory primary education ages 6-14,+0.645 years education; first-stage F-statistic >10,"Sexual activity, marriage, first birth, and fertility by ages 15-25",Sexual activity by 18 -7.2 pp; married by 21 -3.9 pp; first birth by 21 -2.6 pp,Fertility effect becomes more negative in early twenties rather than disappearing after school,NOT_OBSERVED,"Human capital/knowledge, contraception, partner matching; paper rejects incapacitation as main channel",WRONG_MECHANISM_OWN_SCHOOLING,ADJACENT_TEMPO_DRIVER_NOT_INCAPACITATION,PDF abstract; Table 3 p. 14; Table 4 pp. 15-16; conclusion p. 23,literature/pdfs/compulsory-education/W4412362654__do-compulsory-schooling-laws-affect-fertility-behaviors-and-marriages.pdf
W2186769068,Compulsory Education and Teenage Motherhood,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Sharp regression discontinuity at UK ROSLA cohort cutoff,United Kingdom,Minimum school-leaving age increased by one year,School participation falls about 30 pp at cutoff; reform increases mandatory schooling,Motherhood at each teenage age and cumulative teenage motherhood,Motherhood at age 16 -0.40 pp; cumulative effect by age 18 -0.81 pp,Non-monotonic teen pattern; positive effect at 19; reform influence dissipates after age 20,NOT_OBSERVED_SAMPLE_TO_AGE_30,Incarceration plus short beyond-incarceration postponement,NOT_TESTED,TEMPO_NUMERIC_TABLES_2_3,PDF abstract; Tables 2-3 and discussion pp. 20-23,literature/pdfs/compulsory-education/W2186769068__compulsory-education-and-teenage-motherhood.pdf
W2108204833,The Effects of Compulsory-Schooling Laws on Teenage Marriage and Births in Turkey,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Cohort discontinuity / policy exposure design,Turkey,Compulsory schooling extended from 5 to 8 years in 1997,Large enrollment increase in targeted ages; exact coefficient pending table extraction,Marriage by 16 and first birth by 17-18,Marriage by 16 reduced 44%; first birth by 17 reduced 36%,Effects disappear after age 17 for marriage and age 18 for first birth in published version; delay operates through marriage,NOT_REPORTED,Compulsory attendance plus temporary marriage-market human-capital effect,NOT_TESTED,NARRATIVE_PERCENT_EFFECTS_TABLE_EXTRACTION_PENDING,IZA PDF abstract; Tables 5-8; conclusion pp. 27-28,literature/pdfs/compulsory-education/W2108204833__effects-of-compulsory-schooling-laws-on-teenage-marriage-and-births-turkey.pdf
W2154210580,Does education reduce teen fertility? Evidence from compulsory schooling laws,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Canadian compulsory-schooling-law IV,Canada,Changes in provincial minimum school-leaving ages,Strong law-induced schooling first stage; dropout-age increase raises attainment about 6-7 pp on attendance margin,First birth and number of children by ages 17 onward,Teen birth probability reduced about 2-3 pp; effects concentrated at ages 17-18,Negative effect disappears after ages 17-18; temporary delay,NOT_REPORTED,Strong incarceration/incapacitation pattern,NOT_TESTED,TEMPO_NUMERIC_SE_EXTRACTION_PENDING,NBER PDF abstract; Tables 2-4; conclusion,literature/pdfs/compulsory-education/W2154210580__does-education-reduce-teen-fertility.pdf
W4409029977,The Causal Effects of Education on Age at Marriage and Marital Fertility,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Regression discontinuity at 1947 and 1972 English school-leaving reforms,England and Wales,Minimum school-leaving age raised by one year in 1947 and 1972,Reform-scaled additional year; exact preferred first-stage coefficient not extracted here,First-marriage fertility; age at first marriage,1947 scaled fertility effect range -0.046 to +0.132 child; 1972 range -0.030 to +0.061; preferred estimates effectively zero,Completed marital fertility observed,Precisely zero/non-trivial negative effects ruled out,Prospective woman's own education; no child-work-value test,WRONG_MECHANISM_OWN_SCHOOLING,REDUCED_FORM_CONTEXT_NOT_DIRECT_MECHANISM,PDF Tables A12-A13 and Figure 6 discussion pp. 18-20; conclusion p. 23,literature/pdfs/compulsory-education/W4409029977__the-causal-effects-of-education-on-age-at-marriage-and-marital-fertility.pdf
W2411634914,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Cross-country compulsory-reform IV,England and seven Continental European countries,Compulsory-schooling extensions implemented 1936-1975,Mandatory schooling instruments; single-country first stages generally 0.22-0.40 years,Completed number of biological children and childlessness,Negative education-fertility effect in England; no fertility reduction or childlessness increase in Continental Europe,Completed cohort fertility observed,England negative; Continental Europe null/nonnegative,Prospective adult's own schooling; marriage-market and labor-supply channels,WRONG_MECHANISM_OWN_SCHOOLING,REDUCED_FORM_CONTEXT_TABLE_EXTRACTION_PENDING,Author manuscript abstract and Sections 2-4; completed-fertility definition pp. 11-12,literature/pdfs/compulsory-education/W2411634914__is-education-always-reducing-fertility.pdf
W3212471012,Maternal education and child health: Causal evidence from Denmark,TEMPO_COMPULSORY_SCHOOLING,INCLUDE_ADJACENT_OUTCOME,Fuzzy regression discontinuity,Denmark,Compulsory schooling raised from 7 to 9 years in 1972,Strong compulsory-margin first stage; preferred first-stage F about 118,"Number of children, any child, and age at first birth","No effect on having children or number of children; age at first birth postponed about 0.5 year, marginally significant",Completed number of children measured at age 39,No causal effect on number of children,Prospective mother's own schooling; timing effect not specifically teenage incapacitation,WRONG_MECHANISM_OWN_SCHOOLING,ADJACENT_TEMPO_NOT_TEEN_SPECIFIC,PDF Table 1; Tables 2-3 first stage; Table 6 and discussion,literature/pdfs/compulsory-education/W3212471012__maternal-education-and-child-health-denmark.pdf
W3125141375,Technological Progress and Economic Transformation,CHILD_ECONOMIC_VALUE_THEORY,INCLUDE_THEORY_COUNTEREVIDENCE,Calibrated macroeconomic theory,United States historical transition,Child-labor and compulsory-schooling laws discussed as alternative explanation,Not an empirical policy first stage,Model fertility transition,"Model links technological change, skill demand, child labor decline, and fertility decline",Not applicable,MODEL_OUTCOME,"Child productivity/value mechanism, but argues child labor largely declined before binding federal law",THEORY_RELEVANT_POLICY_CAUSATION_CHALLENGED,THEORY_NARRATIVE,"PDF Section 4, especially pp. 27-28",literature/pdfs/compulsory-education/W3125141375__technological-progress-and-economic-transformation.pdf
W1525462723,"Child Labor, Fertility and Economic Growth",CHILD_ECONOMIC_VALUE_THEORY,INCLUDE_DIRECT_THEORY,Overlapping-generations growth model,Stylized development transition,Temporary child-labor prohibition / compulsory schooling,Model-imposed policy,Endogenous fertility in high- and low-child-labor steady states,Child labor raises optimal fertility; prohibition accelerates transition from high-child-labor/high-fertility trap to low-child-labor/low-fertility growth path,Policy can move the economy between steady states,MODEL_OUTCOME,Direct decreased child-labor return and substitution toward education,DIRECT_FORMAL_THEORY,THEORY_NARRATIVE,PDF abstract and introduction; policy section,literature/pdfs/compulsory-education/W1525462723__child-labor-fertility-economic-growth.pdf
W2073343854,A Theory of Occupational Choice with Endogenous Fertility,CHILD_ECONOMIC_VALUE_THEORY,INCLUDE_DIRECT_THEORY,Dynamic general-equilibrium occupational-choice model,Stylized steady states,Stronger child-labor regulation,Comparative static shifts children toward education,Endogenous steady-state fertility,Stronger child-labor regulation shifts skill composition and is associated with lower fertility under the model's steady-state conditions,Steady-state comparative statics,MODEL_OUTCOME,Regulation changes child labor/education returns and occupational composition,DIRECT_FORMAL_THEORY,THEORY_NARRATIVE,"PDF abstract, introduction pp. 3-4, and comparative-statics section",literature/pdfs/compulsory-education/W2073343854__theory-occupational-choice-endogenous-fertility.pdf
